date,time,numSatellites,fix,latitude,longitude,altitude,usec,speed_ms,heading,pdop,hdop,vdop
2000-01-02,00:00:03,4,False,,,,0,,,,,
2000-01-02,00:00:04,4,False,,,,0,,,,,
2000-01-02,00:00:05,5,False,,,,0,,,,,
2000-01-02,00:00:06,6,False,,,,0,,,,,
2000-01-02,00:00:07,6,False,,,,0,,,,,
2000-01-02,00:00:08,6,False,,,,0,,,,,
2000-01-02,00:00:09,6,False,,,,0,,,,,
2000-01-02,00:00:10,6,False,,,,0,,,,,
2000-01-02,07:16:05,6,False,,,,530000,,,,,
2000-01-02,07:16:07,6,False,,,,0,,,,,
2000-01-02,07:16:08,6,False,,,,0,,,,,
2000-01-02,07:16:09,7,False,,,,0,,,,,
2000-01-02,07:16:10,8,False,,,,0,,,,,
2000-01-02,07:16:11,8,False,,,,0,,,,,
2000-01-02,07:16:12,8,False,,,,0,,,,,
2000-01-02,07:16:13,7,False,,,,0,,,,,
2026-08-09,07:16:14,7,False,,,,0,,,,,
2026-08-09,07:16:15,7,False,,,,0,,,,,
2026-08-09,07:16:16,13,False,,,,0,,,,,
2026-08-09,07:16:17,13,False,,,,0,,,,,
2026-08-09,07:16:18,17,False,,,,0,,,,,
2026-08-09,07:16:19,17,False,,,,0,,,,,
2026-08-09,07:16:20,16,False,,,,0,,,,,
2026-08-09,07:16:21,16,False,,,,0,,,,,
2026-08-09,07:16:22,17,False,,,,0,,,,,
2026-08-09,07:16:23,19,False,,,,0,,,,,
2026-08-09,07:16:24,19,False,,,,0,,,,,
2026-08-09,07:16:25,19,False,,,,0,,,,,
2026-08-09,07:16:26,19,False,,,,0,,,,,
2026-08-09,07:16:27,20,False,,,,0,,,,,
2026-08-09,07:16:28,19,False,,,,0,,,,,
2026-08-09,07:16:29,20,False,,,,0,,,,,
2026-08-09,07:16:30,19,False,,,,0,,,,,
2026-08-09,07:16:31,19,False,,,,0,,,,,
2026-08-09,07:16:32,19,False,,,,0,,,,,
2026-08-09,07:16:33,19,False,,,,0,,,,,
2026-08-09,07:16:34,19,False,,,,0,,,,,
2026-08-09,07:16:35,19,False,,,,0,,,,,
2026-08-09,07:16:36,21,False,,,,0,,,,,
2026-08-09,07:16:37,21,False,,,,0,,,,,
2026-08-09,07:16:38,24,False,,,,0,,,,,
2026-08-09,07:16:39,23,False,,,,0,,,,,
2026-08-09,07:16:40,23,False,,,,0,,,,,
2026-08-09,07:16:41,24,False,,,,0,,,,,
2026-08-09,07:16:42,24,False,,,,0,,,,,
2026-08-09,07:16:43,24,False,,,,0,,,,,
2026-08-09,07:16:44,24,False,,,,0,,,,,
2026-08-09,07:16:45,24,False,,,,0,,,,,
2026-08-09,07:16:46,24,False,,,,0,,,,,
2026-08-09,07:16:47,24,False,,,,0,,,,,
2026-08-09,07:16:48,24,False,,,,0,,,,,
2026-08-09,07:16:49,24,True,7.0081741,100.5026983,19.57,360000,0.2,0,2.5,1.2,2.2
2026-08-09,07:16:51,24,True,7.008168,100.5026955,19.8,0,0.2,0,2.5,1.2,2.2
2026-08-09,07:16:52,24,True,7.0081879,100.502674,19.77,0,0,0,2.5,1.2,2.2
2026-08-09,07:16:53,24,True,7.0081885,100.5026723,19.77,0,0.3,0,2.5,1.2,2.2
2026-08-09,07:16:54,24,True,7.008186,100.5026728,19.8,0,0.4,0,2.4,1.2,2.1
2026-08-09,07:16:55,24,True,7.0081848,100.5026753,19.85,0,0.7,85.1,2.3,1.1,2.1
2026-08-09,07:16:56,24,True,7.0081831,100.5026772,19.91,0,0.7,85.1,2.3,1.1,2.1
2026-08-09,07:16:57,24,True,7.0081783,100.5026781,20,0,1.1,125.9,2.3,1.1,2.1
2026-08-09,07:16:58,24,True,7.0081738,100.5026809,20.11,0,1.1,98.8,2.3,1.1,2.1
2026-08-09,07:16:59,24,True,7.0081706,100.5026848,20.23,0,1.1,82.9,2.3,1.1,2.1
2026-08-09,07:17:00,24,True,7.0081715,100.5026931,20.33,0,1.6,90.4,2.3,1.1,2.1
2026-08-09,07:17:01,24,True,7.0081726,100.5027027,20.49,0,2.8,99.6,2.3,1.1,2.1
2026-08-09,07:17:02,24,True,7.0081726,100.5027118,20.63,0,3.5,101.1,2.3,1.1,2.1
2026-08-09,07:17:03,24,True,7.0081731,100.5027182,20.77,0,2.7,96.1,2.3,1.1,2.1
2026-08-09,07:17:04,24,True,7.0081731,100.5027246,20.91,0,2.1,86.3,2.3,1.1,2.1
2026-08-09,07:17:05,24,True,7.0081714,100.5027318,21.05,0,2.8,88.8,2.3,1.1,2.1
2026-08-09,07:17:06,24,True,7.0081702,100.5027413,21.17,0,2.7,88.2,2.3,1.1,2.1
2026-08-09,07:17:07,24,True,7.0081691,100.5027508,21.27,0,2.8,95.2,2.3,1.1,2.1
2026-08-09,07:17:08,24,True,7.0081688,100.5027605,21.37,0,3.1,86.3,2.3,1.1,2.1
2026-08-09,07:17:09,24,True,7.0081663,100.5027702,21.45,0,3.1,99.9,2.3,1.1,2.1
2026-08-09,07:17:10,24,True,7.0081645,100.502781,21.5,0,3.2,95.8,2.3,1.1,2.1
2026-08-09,07:17:11,24,True,7.0081638,100.5027906,21.52,0,3.2,85.2,2.3,1.1,2.1
2026-08-09,07:17:12,24,True,7.0081621,100.5027987,21.5,0,3.1,92.5,2.3,1.1,2.1
2026-08-09,07:17:13,24,True,7.0081599,100.5028058,21.45,0,3.3,102.8,2.3,1.1,2.1
2026-08-09,07:17:14,24,True,7.0081595,100.5028138,21.42,0,3.4,93.4,2.3,1.1,2.1
2026-08-09,07:17:15,24,True,7.0081583,100.5028232,21.41,0,3.6,97,2.3,1.1,2.1
2026-08-09,07:17:16,24,True,7.0081592,100.5028321,21.41,0,3.7,79.6,2.3,1.1,2.1
2026-08-09,07:17:17,24,True,7.0081597,100.5028433,21.41,0,3.7,84.9,2.3,1.1,2.1
2026-08-09,07:17:18,24,True,7.0081595,100.5028527,21.39,0,3.9,89.4,2.3,1.1,2.1
2026-08-09,07:17:19,24,True,7.0081581,100.5028618,21.38,0,3.9,95.7,2.3,1.1,2.1
2026-08-09,07:17:20,24,True,7.0081589,100.5028697,21.36,0,3.9,90.2,2.3,1.1,2.1
2026-08-09,07:17:21,24,True,7.0081585,100.50288,21.35,0,3.9,91.7,2.3,1.1,2.1
2026-08-09,07:17:22,24,True,7.0081584,100.5028905,21.33,0,4.2,88.4,2.3,1.1,2.1
2026-08-09,07:17:23,24,True,7.0081567,100.5029012,21.35,0,4.2,93.7,2.3,1.1,2.1
2026-08-09,07:17:24,24,True,7.0081547,100.5029109,21.37,0,4.2,93.4,2.3,1.1,2.1
2026-08-09,07:17:25,24,True,7.0081538,100.5029216,21.39,0,4.2,92.9,2.3,1.1,2.1
2026-08-09,07:17:26,24,True,7.0081538,100.5029319,21.42,0,4.2,89.7,2.3,1.1,2.1
2026-08-09,07:17:27,24,True,7.0081535,100.5029423,21.46,0,4.2,92.9,2.3,1.1,2.1
2026-08-09,07:17:28,24,True,7.0081541,100.502952,21.52,0,4.1,89.8,2.3,1.1,2.1
2026-08-09,07:17:29,24,True,7.0081547,100.5029615,21.6,0,4.2,90.7,2.3,1.1,2.1
2026-08-09,07:17:30,24,True,7.0081539,100.5029697,21.69,0,4.3,96.9,2.2,1,1.9
2026-08-09,07:17:31,24,True,7.0081529,100.5029803,21.79,0,4.2,94.1,2.2,1,1.9
2026-08-09,07:17:32,24,True,7.0081522,100.5029928,21.93,0,4.1,91.6,2.2,1,1.9
2026-08-09,07:17:33,24,True,7.0081506,100.5030051,22.12,0,4.1,94.6,2.2,1,1.9
2026-08-09,07:17:34,24,True,7.0081504,100.5030155,22.34,0,4.2,91.7,2.2,1,1.9
2026-08-09,07:17:35,24,True,7.0081511,100.5030259,22.58,0,4.4,87.5,2.2,1,1.9
2026-08-09,07:17:36,24,True,7.0081506,100.503037,22.85,0,4.4,93.6,2.2,1,1.9
2026-08-09,07:17:37,24,True,7.0081503,100.5030488,23.14,0,4.8,91.6,2.2,1,1.9
2026-08-09,07:17:38,24,True,7.0081497,100.5030608,23.43,0,4.9,91.5,2.4,1.1,2.2
2026-08-09,07:17:39,24,True,7.0081489,100.5030705,23.7,0,5,94.1,2.2,1,1.9
2026-08-09,07:17:40,24,True,7.0081471,100.5030783,23.92,0,5,91.8,2.1,1,1.9
2026-08-09,07:17:41,24,True,7.0081453,100.5030851,24.13,0,5,95.2,2.1,1,1.9
2026-08-09,07:17:42,24,True,7.0081558,100.5030915,24.84,0,5,96.5,2.1,1,1.9
2026-08-09,07:17:43,24,True,7.0081552,100.5030939,25.66,0,4.8,90.4,2,0.9,1.8
2026-08-09,07:17:44,24,True,7.0081543,100.5030986,26.48,0,4.6,89,1.9,0.9,1.8
2026-08-09,07:17:45,24,True,7.0081518,100.5031056,27.2,0,4.7,92.3,1.9,0.9,1.8
2026-08-09,07:17:46,24,True,7.0081491,100.5031123,27.83,0,4.5,92.9,1.9,0.9,1.8
2026-08-09,07:17:47,24,True,7.0081478,100.5031185,28.38,0,4.4,88.3,1.9,0.9,1.8
2026-08-09,07:17:48,24,True,7.0081462,100.5031265,28.85,0,4.3,91.5,1.9,0.9,1.8
2026-08-09,07:17:49,24,True,7.0081443,100.503137,29.28,0,4.3,96.6,1.9,0.9,1.8
2026-08-09,07:17:50,24,True,7.0081441,100.5031459,29.67,0,4.3,93.8,1.9,0.9,1.7
2026-08-09,07:17:51,24,True,7.0081431,100.5031547,30.04,0,4.4,96.7,2.2,1,2
2026-08-09,07:17:52,24,True,7.008143,100.5031638,30.35,0,4.5,93.2,2.2,1,2
2026-08-09,07:17:53,24,True,7.0081444,100.5031732,30.64,0,4.4,86.7,1.9,0.9,1.7
2026-08-09,07:17:54,24,True,7.0081443,100.5031831,30.87,0,4.4,92.7,1.9,0.9,1.7
2026-08-09,07:17:55,24,True,7.0081446,100.5031919,31.07,0,4.4,92.8,1.9,0.8,1.7
2026-08-09,07:17:56,24,True,7.0081446,100.5032019,31.23,0,4.4,92.8,1.9,0.8,1.7
2026-08-09,07:17:57,24,True,7.0081449,100.5032119,31.37,0,4.4,89.8,1.9,0.8,1.7
2026-08-09,07:17:58,24,True,7.0081437,100.5032212,31.53,0,4.4,91,1.9,0.8,1.7
2026-08-09,07:17:59,24,True,7.0081425,100.5032291,31.68,0,4.2,91.9,1.9,0.8,1.7
2026-08-09,07:18:00,24,True,7.0081417,100.5032382,31.84,0,4.3,92.3,2.2,0.9,1.9
2026-08-09,07:18:01,24,True,7.0081412,100.5032465,31.97,0,4.4,91.9,1.9,0.8,1.7
2026-08-09,07:18:02,24,True,7.00814,100.5032552,32.08,0,4.4,95,2.2,0.9,1.9
2026-08-09,07:18:03,24,True,7.0081375,100.5032626,32.16,0,4.4,101.8,2.2,0.9,1.9
2026-08-09,07:18:04,24,True,7.0081363,100.5032709,32.21,0,4.1,94.9,1.9,0.8,1.7
2026-08-09,07:18:05,24,True,7.0081352,100.503279,32.22,0,4.1,97.9,2.2,0.9,1.9
2026-08-09,07:18:06,24,True,7.0081341,100.5032877,32.2,0,4,98.8,1.9,0.8,1.7
2026-08-09,07:18:07,24,True,7.0081334,100.5032959,32.11,0,4,98.6,1.9,0.8,1.7
2026-08-09,07:18:08,24,True,7.0081342,100.5033058,32.01,0,3.9,91.9,1.9,0.8,1.7
2026-08-09,07:18:09,24,True,7.0081379,100.5033076,31.79,0,3.8,96.8,2.2,0.9,1.9
2026-08-09,07:18:10,24,True,7.0081406,100.5033109,31.46,0,3.6,98,2.2,0.9,1.9
2026-08-09,07:18:11,24,True,7.0081438,100.5033176,31.1,0,3.8,87.8,2.2,0.9,1.9
2026-08-09,07:18:12,24,True,7.0081449,100.5033238,30.7,0,3.7,97,2.2,0.9,1.9
2026-08-09,07:18:13,24,True,7.0081459,100.5033305,30.3,0,3.6,94.5,1.9,0.8,1.7
2026-08-09,07:18:14,24,True,7.0081459,100.5033348,29.9,0,3.6,95.8,1.9,0.8,1.7
2026-08-09,07:18:15,24,True,7.0081461,100.5033406,29.52,0,3.5,94.6,1.9,0.8,1.7
2026-08-09,07:18:16,24,True,7.0081463,100.5033474,29.15,0,3.6,95.2,2.2,0.9,1.9
2026-08-09,07:18:17,24,True,7.0081473,100.5033555,28.81,0,3.5,88.9,2.2,0.9,1.9
2026-08-09,07:18:18,24,True,7.0081475,100.5033627,28.48,0,3.5,91.4,2.2,0.9,1.9
